Date,Open,High,Low,Close,Volume,Adj Close
17-07-2009,433.00,435.48,426.70,430.25,6854100,430.25
20-07-2009,429.88,432.85,426.25,430.17,3153500,430.17
21-07-2009,430.94,431.90,425.72,427.90,2968200,427.90
22-07-2009,428.00,430.20,423.50,427.69,2586700,427.69
23-07-2009,428.68,441.21,425.50,437.34,3478200,437.34
24-07-2009,435.81,450.49,435.00,446.72,3626900,446.72
27-07-2009,446.04,446.75,437.61,444.80,2504400,444.80
28-07-2009,441.00,442.81,436.10,439.85,2532500,439.85
29-07-2009,437.23,437.80,431.89,436.24,1987000,436.24
30-07-2009,442.61,451.47,442.61,445.64,3198600,445.64
31-07-2009,449.98,452.70,442.43,443.05,2860400,443.05
03-08-2009,448.74,453.90,447.64,452.21,2590300,452.21
04-08-2009,449.37,454.00,448.43,453.73,2389800,453.73
05-08-2009,456.00,456.91,447.88,451.14,2342000,451.14
06-08-2009,454.30,454.88,448.53,450.36,2110900,450.36
07-08-2009,455.67,459.42,454.99,457.10,2543100,457.10
10-08-2009,455.14,458.41,453.79,456.61,1742000,456.61
11-08-2009,453.67,457.23,452.38,453.94,1712500,453.94
12-08-2009,455.41,461.75,454.92,458.58,2341400,458.58
13-08-2009,462.15,464.72,458.91,462.28,1995200,462.28
14-08-2009,462.78,463.18,456.89,460.00,1675100,460.00
17-08-2009,451.50,451.99,443.12,444.89,2620200,444.89
18-08-2009,445.10,447.70,442.32,445.28,2351100,445.28
19-08-2009,439.99,445.00,438.56,443.97,2255000,443.97
20-08-2009,452.00,462.18,451.23,460.41,3998900,460.41
21-08-2009,465.54,466.09,462.65,465.24,3560500,465.24
24-08-2009,467.35,470.09,464.42,468.73,2453400,468.73
25-08-2009,469.13,474.35,468.72,471.37,2341000,471.37
26-08-2009,472.76,473.00,466.70,468.00,1987800,468.00
27-08-2009,468.58,468.58,460.73,466.06,1998900,466.06
28-08-2009,469.26,472.37,463.38,464.75,1771600,464.75
31-08-2009,459.79,461.86,458.00,461.67,1957900,461.67
01-09-2009,459.68,466.82,454.42,455.76,2594900,455.76
02-09-2009,455.82,458.33,452.59,453.01,1804800,453.01
03-09-2009,455.82,458.25,455.00,457.52,1646200,457.52
04-09-2009,457.57,462.60,455.78,461.30,1499200,461.30
08-09-2009,464.29,466.99,455.84,458.62,2656700,458.62
09-09-2009,459.06,466.27,458.80,463.97,2195400,463.97
10-09-2009,466.65,470.94,462.00,470.94,2534600,470.94
11-09-2009,470.40,473.30,467.63,472.14,1902900,472.14
14-09-2009,470.51,476.80,470.05,475.12,1975700,475.12
15-09-2009,475.08,478.91,472.71,477.54,2398100,477.54
16-09-2009,479.80,489.37,478.48,488.29,2585300,488.29
17-09-2009,490.57,497.37,487.15,491.72,4483100,491.72
18-09-2009,496.77,496.98,491.23,491.46,3283500,491.46
21-09-2009,487.74,498.90,486.22,497.00,2116400,497.00
22-09-2009,500.92,501.99,497.81,499.06,3041200,499.06
23-09-2009,500.78,507.00,497.71,498.46,2704200,498.46
24-09-2009,500.47,501.41,493.00,496.77,2527600,496.77
25-09-2009,494.29,499.93,492.00,492.48,2049600,492.48
28-09-2009,494.84,501.50,493.30,498.53,1839300,498.53
29-09-2009,499.53,499.75,493.01,498.53,2099200,498.53
30-09-2009,500.00,500.14,487.24,495.85,3141700,495.85
01-10-2009,493.00,496.47,487.00,487.20,2813200,487.20
02-10-2009,483.74,491.74,482.60,484.58,2600800,484.58
05-10-2009,487.65,492.43,483.34,488.52,2144600,488.52
06-10-2009,491.70,499.37,491.70,498.74,2732300,498.74
07-10-2009,499.00,518.99,497.81,517.54,4874200,517.54
08-10-2009,519.57,523.25,513.34,514.18,4303800,514.18
09-10-2009,516.65,521.51,514.50,516.25,2738100,516.25
12-10-2009,523.42,525.76,519.32,524.04,3322200,524.04
13-10-2009,524.39,527.46,521.38,526.11,3037400,526.11
14-10-2009,532.46,535.58,530.00,535.32,3258400,535.32
15-10-2009,533.75,536.90,527.27,529.91,6100400,529.91
16-10-2009,547.33,554.75,544.53,549.85,8841900,549.85
19-10-2009,552.69,553.60,548.73,552.09,3217900,552.09
20-10-2009,551.64,552.95,540.70,551.72,4043700,551.72
21-10-2009,549.91,559.35,549.00,551.10,3670600,551.10
22-10-2009,550.00,555.00,548.00,554.09,2336500,554.09
23-10-2009,555.25,557.89,551.20,553.69,2392700,553.69
26-10-2009,555.75,561.64,550.89,554.21,2970400,554.21
27-10-2009,550.97,554.56,544.16,548.29,3216500,548.29
28-10-2009,547.87,550.00,538.25,540.30,2567800,540.30
29-10-2009,543.01,551.83,541.00,551.05,2522600,551.05
30-10-2009,550.00,550.17,534.24,536.12,3468500,536.12
02-11-2009,537.08,539.46,528.24,533.99,3202100,533.99
03-11-2009,530.01,537.50,528.30,537.29,2380200,537.29
04-11-2009,540.80,545.50,536.42,540.33,2332700,540.33
05-11-2009,543.49,549.77,542.66,548.65,1847700,548.65
06-11-2009,547.72,551.78,545.50,551.10,1826700,551.10
09-11-2009,555.45,562.58,554.23,562.51,2649900,562.51
10-11-2009,562.73,568.78,562.00,566.76,2230800,566.76
11-11-2009,570.48,573.50,565.86,570.56,2319700,570.56
12-11-2009,569.56,572.90,565.50,567.85,1886300,567.85
13-11-2009,569.29,572.51,566.61,572.05,1666800,572.05
16-11-2009,575.00,576.99,572.78,576.28,2199200,576.28
17-11-2009,574.87,577.50,573.72,577.49,1916700,577.49
18-11-2009,576.65,578.78,572.07,576.65,1549600,576.65
19-11-2009,573.77,574.00,570.00,572.99,2168000,572.99
20-11-2009,569.50,571.60,569.40,569.96,2006200,569.96
23-11-2009,576.49,586.60,575.86,582.35,2547500,582.35
24-11-2009,582.52,584.29,576.54,583.09,1605200,583.09
25-11-2009,586.41,587.06,582.69,585.74,1461200,585.74
27-11-2009,572.00,582.46,570.97,579.76,1384600,579.76
30-11-2009,580.63,583.67,577.11,583.00,1725100,583.00
01-12-2009,588.13,591.22,583.00,589.87,2320300,589.87
02-12-2009,591.00,593.01,586.22,587.51,1663200,587.51
03-12-2009,589.04,591.45,585.00,585.74,1428700,585.74
04-12-2009,593.02,594.83,579.18,585.01,2513600,585.01
07-12-2009,584.21,588.69,581.00,586.25,1636200,586.25
08-12-2009,583.50,590.66,582.00,587.05,1524000,587.05
09-12-2009,587.50,589.33,583.58,589.02,1781000,589.02
10-12-2009,590.44,594.71,590.41,591.50,1668300,591.50
11-12-2009,594.68,594.75,587.73,590.51,1720000,590.51
14-12-2009,595.35,597.31,592.61,595.73,1913400,595.73
15-12-2009,593.30,596.38,590.99,593.14,2280400,593.14
16-12-2009,598.60,600.37,596.64,597.76,2809400,597.76
17-12-2009,596.44,597.64,593.76,593.94,2638800,593.94
18-12-2009,596.03,598.93,595.00,596.42,3531500,596.42
21-12-2009,597.61,599.84,595.67,598.68,2571200,598.68
22-12-2009,601.34,601.50,598.85,601.12,1880800,601.12
23-12-2009,603.50,612.87,602.85,611.68,2072700,611.68
24-12-2009,612.93,619.52,612.27,618.48,858700,618.48
28-12-2009,621.66,625.99,618.48,622.87,1697900,622.87
29-12-2009,624.74,624.84,618.29,619.40,1424800,619.40
30-12-2009,618.50,622.73,618.01,622.73,1465600,622.73
31-12-2009,624.75,625.40,619.98,619.98,1219800,619.98
04-01-2010,626.95,629.51,624.24,626.75,1956200,626.75
05-01-2010,627.18,627.84,621.54,623.99,3004700,623.99
06-01-2010,625.86,625.86,606.36,608.26,3978700,608.26
07-01-2010,609.40,610.00,592.65,594.10,6414300,594.10
08-01-2010,592.00,603.25,589.11,602.02,4724300,602.02
11-01-2010,604.46,604.46,594.04,601.11,7212900,601.11
12-01-2010,597.65,598.16,588.00,590.48,4853300,590.48
13-01-2010,576.49,588.38,573.90,587.09,6496600,587.09
14-01-2010,583.90,594.20,582.81,589.85,4240100,589.85
15-01-2010,593.34,593.56,578.04,580.00,5434500,580.00
19-01-2010,581.20,590.42,576.29,587.62,4316700,587.62
20-01-2010,585.98,585.98,575.29,580.41,3250700,580.41
21-01-2010,583.44,586.82,572.25,582.98,6307700,582.98
22-01-2010,564.50,570.60,534.86,550.01,6800400,550.01
25-01-2010,546.59,549.88,535.51,540.00,4419900,540.00
26-01-2010,537.97,549.60,536.29,542.42,4355500,542.42
27-01-2010,541.27,547.65,535.31,542.10,3964400,542.10
28-01-2010,544.49,547.00,530.60,534.29,3229100,534.29
29-01-2010,538.49,540.99,525.61,529.94,4140500,529.94
01-02-2010,534.60,535.81,530.30,533.02,2250800,533.02
02-02-2010,534.96,534.96,527.61,531.12,4096200,531.12
03-02-2010,528.67,542.10,528.23,540.82,2999100,540.82
04-02-2010,537.00,538.00,525.56,526.78,3377700,526.78
05-02-2010,528.40,533.50,522.46,531.29,3156000,531.29
08-02-2010,532.50,542.00,531.53,533.47,2694300,533.47
09-02-2010,539.54,541.53,535.07,536.44,2819600,536.44
10-02-2010,534.07,537.79,527.69,534.45,2674500,534.45
11-02-2010,533.32,540.49,529.50,536.40,2410000,536.40
12-02-2010,532.97,537.15,530.50,533.12,2279700,533.12
16-02-2010,536.87,544.13,534.30,541.30,3654400,541.30
17-02-2010,542.00,543.40,537.61,538.21,2029700,538.21
18-02-2010,537.54,545.01,536.14,543.22,2336900,543.22
19-02-2010,540.53,544.03,539.70,540.76,2553100,540.76
22-02-2010,547.35,547.50,541.00,542.80,2144600,542.80
23-02-2010,543.00,543.63,532.29,535.07,2872600,535.07
24-02-2010,533.98,538.44,530.51,531.47,2326600,531.47
25-02-2010,527.12,528.49,520.00,526.43,3309200,526.43
26-02-2010,527.42,531.75,523.48,526.80,2049300,526.80
01-03-2010,529.20,533.29,527.74,532.69,2237900,532.69
02-03-2010,535.48,545.66,535.01,541.06,4356800,541.06
03-03-2010,542.36,548.12,539.25,545.32,3089400,545.32
04-03-2010,546.50,556.13,546.20,554.59,3183800,554.59
05-03-2010,561.35,567.67,559.90,564.21,3912200,564.21
08-03-2010,564.78,565.18,561.01,562.48,2386400,562.48
09-03-2010,559.85,564.66,556.50,560.19,3176600,560.19
10-03-2010,563.76,578.50,562.21,576.45,5654900,576.45
11-03-2010,574.26,586.21,574.20,581.14,4233300,581.14
12-03-2010,588.14,588.28,579.16,579.54,2753400,579.54
15-03-2010,566.68,569.45,556.00,563.18,4653900,563.18
16-03-2010,561.83,568.42,560.76,565.20,3431500,565.20
17-03-2010,568.30,571.45,564.25,565.56,3321600,565.56
18-03-2010,564.72,568.44,562.96,566.40,1777200,566.40
19-03-2010,566.23,568.00,557.28,560.00,4792400,560.00
22-03-2010,556.11,566.85,554.28,557.50,4004800,557.50
23-03-2010,557.04,558.31,542.00,549.00,5501300,549.00
24-03-2010,545.51,559.85,539.70,557.33,6565200,557.33
25-03-2010,559.02,572.00,558.66,562.88,3930900,562.88
26-03-2010,565.27,567.39,560.02,562.69,2696200,562.69
29-03-2010,563.00,564.72,560.57,562.45,3104500,562.45
30-03-2010,562.83,567.63,560.28,566.71,1977900,566.71
31-03-2010,565.05,569.74,562.81,567.12,3030800,567.12
01-04-2010,571.35,573.45,565.55,568.80,2102700,568.80
05-04-2010,570.90,574.88,569.00,571.01,1901500,571.01
06-04-2010,569.46,570.89,565.40,568.22,2060100,568.22
07-04-2010,567.30,568.75,561.86,563.54,2581000,563.54
08-04-2010,563.32,569.85,560.05,567.49,1947500,567.49
09-04-2010,567.49,568.77,564.00,566.22,2056600,566.22
